knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
K11a138,11,11,,12,1,11,unchecked,reported_only
K11a139,11,11,,12,1,11,unchecked,reported_only
K11a14,11,11,,12,1,11,unchecked,reported_only
K11a140,11,12,,12,0,12,unchecked,reported_only
K11a141,11,11,,11,0,11,unchecked,reported_only
K11a142,11,11,,,,11,unchecked,none
K11a143,11,11,,,,11,unchecked,none
K11a144,11,11,,,,11,unchecked,none
K11a145,11,11,,,,11,unchecked,none
K11a146,11,11,,,,11,unchecked,none
K11a147,11,11,,,,11,unchecked,none
K11a148,11,11,,11,0,11,unchecked,reported_only
K11a149,11,11,,11,0,11,unchecked,reported_only
K11a15,11,11,,,,11,unchecked,none
K11a150,11,11,,,,11,matched,none
K11a151,11,11,,12,1,11,unchecked,reported_only
K11a152,11,11,,,,11,unchecked,none
K11a153,11,11,,,,11,unchecked,none
K11a154,11,12,,12,0,12,unchecked,reported_only
K11a155,11,11,,,,11,unchecked,none
K11a156,11,11,,,,11,unchecked,none
K11a157,11,11,,,,11,unchecked,none
K11a158,11,11,,,,11,unchecked,none
K11a159,11,12,,,,12,unchecked,none
K11a16,11,11,,,,11,unchecked,none
K11a160,11,11,,11,0,11,unchecked,reported_only
K11a161,11,11,,,,11,unchecked,none
K11a162,11,10,,11,1,10,unchecked,reported_only
K11a163,11,11,,,,11,unchecked,none
K11a164,11,11,,11,0,11,unchecked,reported_only
K11a165,11,11,,,,11,unchecked,none
K11a166,11,12,,12,0,12,unchecked,reported_only
K11a167,11,11,,12,1,11,unchecked,reported_only
K11a168,11,11,,,,11,unchecked,none
K11a169,11,11,,12,1,11,unchecked,reported_only
K11a17,11,12,,,,12,unchecked,none
K11a170,11,11,,11,0,11,unchecked,reported_only
K11a171,11,11,,12,1,11,unchecked,reported_only
K11a172,11,11,,,,11,matched,none
K11a173,11,11,,,,11,unchecked,none
K11a174,11,11,,12,1,11,unchecked,reported_only
K11a175,11,11,,,,11,unchecked,none
K11a176,11,11,,,,11,matched,none
K11a177,11,11,,12,1,11,unchecked,reported_only
K11a178,11,11,,12,1,11,unchecked,reported_only
K11a179,11,12,,,,12,unchecked,none
K11a18,11,11,,,,11,unchecked,none
K11a180,11,11,,12,1,11,unchecked,reported_only
K11a181,11,11,,12,1,11,unchecked,reported_only
K11a182,11,11,,,,11,matched,none
K11a183,11,11,,,,11,unchecked,none
K11a184,11,11,,,,11,unchecked,none
K11a185,11,11,,,,11,unchecked,none
K11a186,11,11,,,,11,unchecked,none
K11a187,11,11,,12,1,11,unchecked,reported_only
K11a188,11,11,,,,11,unchecked,none
K11a189,11,11,,11,0,11,unchecked,reported_only
K11a19,11,11,,,,11,unchecked,none
K11a190,11,11,,12,1,11,unchecked,reported_only
K11a191,11,11,,11,0,11,unchecked,reported_only
K11a192,11,11,,,,11,unchecked,none
K11a193,11,11,,,,11,matched,none
K11a194,11,11,,,,11,unchecked,none
K11a195,11,11,,,,11,unchecked,none
K11a196,11,11,,11,0,11,unchecked,reported_only
K11a197,11,11,,,,11,unchecked,none
K11a198,11,11,,,,11,unchecked,none
K11a199,11,11,,,,11,unchecked,none
K11a2,11,11,,,,11,unchecked,none
K11a20,11,11,,,,11,unchecked,none
K11a200,11,11,,,,11,unchecked,none
K11a201,11,11,,12,1,11,unchecked,reported_only
K11a202,11,11,,,,11,unchecked,none
K11a203,11,11,,12,1,11,unchecked,reported_only
K11a204,11,11,,,,11,unchecked,none
K11a205,11,11,,,,11,unchecked,none
K11a206,11,11,,,,11,unchecked,none
K11a207,11,11,,,,11,unchecked,none
K11a208,11,11,,,,11,matched,none
K11a209,11,11,,,,11,unchecked,none
K11a21,11,12,,,,12,unchecked,none
K11a210,11,11,,,,11,unchecked,none
K11a211,11,11,,,,11,unchecked,none
K11a212,11,11,,,,11,unchecked,none
K11a213,11,11,,12,1,11,unchecked,reported_only
K11a214,11,11,,,,11,unchecked,none
K11a215,11,11,,11,0,11,unchecked,reported_only
K11a216,11,11,,11,0,11,unchecked,reported_only
K11a217,11,11,,,,11,unchecked,none
K11a218,11,11,,,,11,unchecked,none
K11a219,11,11,,12,1,11,unchecked,reported_only
K11a22,11,11,,12,1,11,unchecked,reported_only
K11a220,11,11,,,,11,unchecked,none
K11a221,11,11,,,,11,unchecked,none
