knot,crossings,sticks,input_min_dist
K11n104,11,10,0.012621147336253215
K11n105,11,10,0.0052610917414578967
K11n106,11,10,0.0038239956898701655
K11n107,11,10,0.0047372554056558276
K11n108,11,10,0.00047470572200173717
K11n109,11,11,0.00081701817086352296
K11n11,11,11,0.0044865997931809688
K11n110,11,10,0.013552906093292745
K11n111,11,10,0.0025839566834464662
K11n112,11,10,0.00507756247843902
K11n113,11,10,0.0043447742287662577
K11n114,11,10,0.0033837250881950951
K11n115,11,10,0.0039278311639995324
K11n116,11,10,0.00063694485943857962
K11n117,11,10,0.0020211944355968698
K11n118,11,10,0.0010279422035688543
K11n119,11,11,0.001485591856305756
K11n12,11,10,0.012113359651099399
K11n120,11,10,0.0048957510086313641
K11n121,11,10,0.0019881173142209814
K11n122,11,10,0.00761671699170251
K11n123,11,10,0.0025260875659093465
K11n124,11,10,0.0015978779792514429
K11n125,11,10,0.0033801867366891184
K11n126,11,11,0.0048500100395853767
K11n127,11,10,0.00067466249704619438
K11n128,11,10,0.0014120463833198025
K11n129,11,11,0.0034184882202588367
K11n13,11,11,0.0030744567332658254
K11n130,11,10,0.0026539042052160329
K11n131,11,10,0.0012506374399952956
K11n132,11,10,0.0024765001914723661
K11n133,11,10,0.0021937988484588863
K11n134,11,10,0.0092479495191467968
K11n135,11,10,0.011628637944960005
K11n136,11,11,0.001137962152151792
K11n137,11,10,0.0035976164957352017
K11n138,11,10,0.00060479737486176458
K11n139,11,10,0.00071424045318577232
K11n14,11,11,0.0075512717525945613
K11n140,11,10,0.0016610872250314725
K11n141,11,10,0.0015409581230418851
K11n142,11,10,0.0072778426097311194
K11n143,11,10,0.002129213282170076
K11n144,11,11,0.0014469011870050417
K11n145,11,10,0.0038392934755075367
K11n146,11,10,0.010882533878479747
K11n147,11,10,0.016782437245913669
K11n148,11,10,0.00054987921692193113
K11n149,11,10,0.00085865080021310571
K11n15,11,11,0.0072065148599551147
K11n150,11,10,0.0021155418796490509
K11n151,11,11,0.0031112317177249271
K11n152,11,10,0.0091437753810074043
K11n153,11,10,0.0087181468009839506
K11n154,11,10,0.0054067959123125543
K11n155,11,11,0.0031790919381450809
K11n156,11,10,0.0035950068346717861
K11n157,11,10,0.00027163049549081968
K11n158,11,10,0.00056110893784238681
K11n159,11,10,0.00056303535346515377
K11n16,11,11,0.0018093893457087542
K11n160,11,10,0.010830765803185918
K11n161,11,10,0.0067679992655016868
K11n162,11,11,8.5078930661276235e-05
K11n163,11,10,0.00081616297083988596
K11n164,11,10,0.0025126056575751699
K11n165,11,10,0.0047571104562651552
K11n166,11,10,0.0019595970849640969
K11n167,11,11,0.0050461504621808796
K11n168,11,11,0.0021111740892461109
K11n169,11,10,0.00031119746773706212
K11n17,11,11,0.0022047474521483122
K11n170,11,10,0.0023752077522147777
K11n171,11,10,0.0018145733914535216
K11n172,11,10,0.0045896429791510976
K11n173,11,10,0.007463552093340241
K11n174,11,10,0.002428511564185169
K11n175,11,11,0.0049062812281903895
K11n176,11,10,0.00069605500964736364
K11n177,11,10,0.0043170060345693474
K11n178,11,10,0.0026279807986970293
K11n179,11,10,0.0033090168875896313
K11n18,11,11,0.0045525129994439285
K11n180,11,11,0.0033824321388617683
K11n181,11,10,0.0023485779534588233
K11n182,11,10,0.00031038303348654883
K11n183,11,10,0.0077624247676014438
K11n184,11,10,0.0027412220790162234
K11n185,11,10,0.002099413316723467
K11n19,11,10,0.005545692761350275
K11n2,11,11,0.006060924594538543
K11n20,11,10,0.0062666724488761889
K11n21,11,10,0.0046679213931116615
K11n22,11,10,0.0030421973693661015
K11n23,11,10,0.0068977490174040503
K11n24,11,10,0.0011254265763626415
K11n25,11,10,0.0060999118415114078
K11n26,11,10,0.0051993241010018223
K11n27,11,10,0.0006816205690214816
K11n28,11,10,0.0021848879246876398
K11n29,11,10,0.00070524571314602223
K11n3,11,11,0.00014287331967177577
K11n30,11,10,0.0075444475134374221
K11n31,11,11,0.0004347884859423664
K11n32,11,10,0.0016992689834739157
K11n33,11,10,0.0019397600771600054
K11n34,11,11,0.008270059003991333
K11n35,11,11,0.0054012959384511132
K11n36,11,11,0.0041341341654474017
K11n37,11,10,0.00036997249975277913
K11n38,11,10,0.015156812734660545
K11n39,11,10,3.9678535562287303e-05
K11n4,11,10,0.00023399714559845644
K11n40,11,10,0.00099873654370306745
K11n41,11,10,0.00048226442547076603
K11n42,11,11,0.0031786211867247983
K11n43,11,10,0.0018161712839277753
K11n44,11,10,0.00040449999225410798
K11n45,11,10,0.00030135822699075746
K11n46,11,10,0.00061166839803066149
K11n47,11,10,0.001014363228996209
K11n48,11,10,0.0039683059559765298
K11n49,11,10,0.0013760818759208239
K11n5,11,10,0.0030482312206514569
